text{ key = "copyright_menu.made_by_fans.line1", value = "This game was created by fans," }
text{ key = "copyright_menu.made_by_fans.line2", value = "is non commercial and" }
text{ key = "copyright_menu.made_by_fans.line3", value = "is not related to Nintendo." }
text{ key = "copyright_menu.solarus_license.line1", value = "Solarus is Free Software" }
text{ key = "copyright_menu.solarus_license.line2", value = "licensed under GPL v3." }
text{ key = "copyright_menu.tloz_trademark.line1", value = "The Legend of Zelda is" }
text{ key = "copyright_menu.tloz_trademark.line2", value = "a trademark from Nintendo." }
text{ key = "final.end_text", value = "The end" }
text{ key = "inventory.caption.item.apple_pie_counter.1", value = "Apple pie" }
text{ key = "inventory.caption.item.banana_skin_counter.1", value = "Banana skin" }
text{ key = "inventory.caption.item.bombs_counter.1", value = "Bombs" }
text{ key = "inventory.caption.item.boomerang.1", value = "Boomerang" }
text{ key = "inventory.caption.item.boomerang.2", value = "Boomerang" }
text{ key = "inventory.caption.item.bottle_1.1", value = "Magic Bottle$(Empty)" }
text{ key = "inventory.caption.item.bottle_1.2", value = "Magic Bottle$(Water)" }
text{ key = "inventory.caption.item.bottle_1.3", value = "Magic Bottle$(Red Potion)" }
text{ key = "inventory.caption.item.bottle_1.4", value = "Magic Bottle$(Green Potion)" }
text{ key = "inventory.caption.item.bottle_1.5", value = "Magic Bottle$(Blue Potion)" }
text{ key = "inventory.caption.item.bottle_1.6", value = "Magic Bottle$(Fairy)" }
text{ key = "inventory.caption.item.bottle_2.1", value = "Magic Bottle$(Empty)" }
text{ key = "inventory.caption.item.bottle_2.2", value = "Magic Bottle$(Water)" }
text{ key = "inventory.caption.item.bottle_2.3", value = "Magic Bottle$(Red Potion)" }
text{ key = "inventory.caption.item.bottle_2.4", value = "Magic Bottle$(Green Potion)" }
text{ key = "inventory.caption.item.bottle_2.5", value = "Magic Bottle$(Blue Potion)" }
text{ key = "inventory.caption.item.bottle_2.6", value = "Magic Bottle$(Fairy)" }
text{ key = "inventory.caption.item.bottle_3.1", value = "Magic Bottle$(Empty)" }
text{ key = "inventory.caption.item.bottle_3.2", value = "Magic Bottle$(Water)" }
text{ key = "inventory.caption.item.bottle_3.3", value = "Magic Bottle$(Red Potion)" }
text{ key = "inventory.caption.item.bottle_3.4", value = "Magic Bottle$(Green Potion)" }
text{ key = "inventory.caption.item.bottle_3.5", value = "Magic Bottle$(Blue Potion)" }
text{ key = "inventory.caption.item.bottle_3.6", value = "Magic Bottle$(Fairy)" }
text{ key = "inventory.caption.item.bow.1", value = "Broken bow" }
text{ key = "inventory.caption.item.bow.2", value = "Broken bow & Arrows" }
text{ key = "inventory.caption.item.cat_food.1", value = "Cat food" }
text{ key = "inventory.caption.item.croissants_counter.1", value = "French Croissants" }
text{ key = "inventory.caption.item.feather.1", value = "Roc Feather" }
text{ key = "inventory.caption.item.feather.2", value = "iFeather" }
text{ key = "inventory.caption.item.fire_rod.1", value = "Fire Rod" }
text{ key = "inventory.caption.item.flippers.1", value = "Flippers" }
text{ key = "inventory.caption.item.flippers.2", value = "Flippers" }
text{ key = "inventory.caption.item.glove.1", value = "Iron Glove" }
text{ key = "inventory.caption.item.hookshot.1", value = "Hookshot" }
text{ key = "inventory.caption.item.lamp.1", value = "Lanp" }
text{ key = "inventory.caption.item.lens_of_truth.1", value = "Lens of$Alternative Truths" }
text{ key = "inventory.caption.item.mail_counter.1", value = "Mail for Zelda" }
text{ key = "inventory.caption.item.pains_au_chocolat_counter.1", value = "Pains au chocolat" }
text{ key = "inventory.caption.item.pegasus_shoes.1", value = "Pegasus Boots$without laces" }
text{ key = "inventory.caption.item.pegasus_shoes.2", value = "Pegasus Boots" }
text{ key = "inventory.caption.item.perfume_counter.1", value = "Perfume" }
text{ key = "inventory.caption.item.vip_card.1", value = "VIP Card" }
text{ key = "map.caption.dungeon_name_1", value = "Castle of$Alternative Truths" }
text{ key = "map.caption.dungeon_name_2", value = "Grump Tower" }
text{ key = "map.caption.world_map", value = "World Map" }
text{ key = "options.caption.press_action_change_mode", value = "Press Action to$switch video mode" }
text{ key = "options.caption.press_action_customize_key", value = "Press Action to$configure this key" }
text{ key = "options.caption.press_key", value = "Press any key on$the keyboard or joypad" }
text{ key = "options.command.action", value = "Action" }
text{ key = "options.command.attack", value = "Sword" }
text{ key = "options.command.item_1", value = "Left Item" }
text{ key = "options.command.item_2", value = "Right Item" }
text{ key = "options.command.pause", value = "Pause" }
text{ key = "options.command.right", value = "Right" }
text{ key = "options.command.up", value = "Up" }
text{ key = "options.command.left", value = "Left" }
text{ key = "options.command.down", value = "Down" }
